state,year,Yearly Unemployment Rate
alabama,1976,6.766666666666667
alabama,1977,7.316666666666666
alabama,1978,6.316666666666666
alabama,1979,7.175
alabama,1980,8.883333333333333
alabama,1981,10.533333333333333
alabama,1982,14.083333333333334
alabama,1983,13.833333333333334
alabama,1984,11.0
alabama,1985,9.141666666666667
alabama,1986,9.708333333333334
alabama,1987,8.058333333333334
alabama,1988,7.191666666666666
alabama,1989,7.041666666666667
alabama,1990,6.791666666666667
alabama,1991,7.3500000000000005
alabama,1992,7.566666666666666
alabama,1993,7.366666666666667
alabama,1994,6.191666666666666
alabama,1995,5.95
alabama,1996,5.2250000000000005
alabama,1997,4.975
alabama,1998,4.391666666666667
alabama,1999,4.733333333333333
alabama,2000,4.575
alabama,2001,5.1000000000000005
alabama,2002,5.8999999999999995
alabama,2003,6.0249999999999995
alabama,2004,5.7
alabama,2005,4.5
alabama,2006,4.066666666666666
alabama,2007,3.9749999999999996
alabama,2008,5.716666666666666
alabama,2009,10.991666666666667
alabama,2010,10.541666666666666
alabama,2011,9.616666666666667
alabama,2012,7.983333333333333
alabama,2013,7.216666666666666
alabama,2014,6.766666666666667
alabama,2015,6.091666666666666
alabama,2016,5.858333333333333
alabama,2017,4.408333333333333
alabama,2018,3.9416666666666664
alaska,1976,7.516666666666667
alaska,1977,9.866666666666667
alaska,1978,10.616666666666667
alaska,1979,9.275
alaska,1980,9.65
alaska,1981,9.383333333333333
alaska,1982,9.958333333333334
alaska,1983,9.933333333333334
alaska,1984,9.85
alaska,1985,9.691666666666666
alaska,1986,10.933333333333332
alaska,1987,10.266666666666667
alaska,1988,8.783333333333333
alaska,1989,7.008333333333333
alaska,1990,7.233333333333333
alaska,1991,8.458333333333334
alaska,1992,8.916666666666666
alaska,1993,7.708333333333333
alaska,1994,7.566666666666666
alaska,1995,7.316666666666666
alaska,1996,7.583333333333333
alaska,1997,7.141666666666667
alaska,1998,6.358333333333333
alaska,1999,6.466666666666666
alaska,2000,6.358333333333333
alaska,2001,6.416666666666667
alaska,2002,7.3
alaska,2003,7.816666666666666
alaska,2004,7.45
alaska,2005,6.883333333333333
alaska,2006,6.625
alaska,2007,6.3500000000000005
alaska,2008,6.708333333333333
alaska,2009,7.733333333333333
alaska,2010,7.875
alaska,2011,7.566666666666666
alaska,2012,7.133333333333333
alaska,2013,7.0
alaska,2014,6.866666666666667
alaska,2015,6.533333333333334
alaska,2016,6.908333333333334
alaska,2017,7.141666666666667
alaska,2018,6.883333333333333
arizona,1976,9.683333333333334
arizona,1977,8.216666666666667
arizona,1978,6.033333333333334
arizona,1979,5.091666666666667
arizona,1980,6.6499999999999995
arizona,1981,6.2250000000000005
arizona,1982,10.091666666666667
arizona,1983,8.825
arizona,1984,5.175
arizona,1985,6.333333333333333
arizona,1986,6.925
arizona,1987,6.45
arizona,1988,6.366666666666667
arizona,1989,5.358333333333333
arizona,1990,5.258333333333334
arizona,1991,5.966666666666666
arizona,1992,7.541666666666667
arizona,1993,6.408333333333332
arizona,1994,6.1499999999999995
arizona,1995,5.358333333333333
arizona,1996,5.566666666666666
arizona,1997,4.583333333333333
arizona,1998,4.325
